Age_of_Driver,Number_of_Accidents
5,37
6,50
7,65
8,68
9,115
10,138
11,203
12,267
13,303
14,355
15,399
16,1015
17,2735
18,4541
19,4868
20,5250
21,5472
22,5587
23,5779
24,5865
25,6374
26,5607
27,5546
28,5689
29,5322
30,6577
31,4932
32,4804
33,4646
34,4747
35,5425
36,4483
37,4152
38,4206
39,4002
40,5178
41,4299
42,4420
43,4422
44,4515
45,4792
46,4477
47,4354
48,4376
49,4250
50,4787
51,3971
52,3889
53,3536
54,3529
55,3431
56,2872
57,2832
58,2647
59,2332
60,2421
61,2056
62,1980
63,1723
64,1691
65,1614
66,1495
67,1475
68,1468
69,1178
70,1213
71,1039
72,921
73,866
74,775
75,776
76,743
77,783
78,669
79,610
80,647
81,520
82,473
83,431
84,385
85,331
86,302
87,234
88,166
89,137
90,127
91,67
92,64
93,41
94,30
96,1
97,2
