Date,AccidentCount
01/01/2015,21
02/01/2015,40
03/01/2015,37
04/01/2015,36
05/01/2015,36
06/01/2015,65
07/01/2015,64
08/01/2015,79
09/01/2015,62
10/01/2015,47
11/01/2015,38
12/01/2015,84
13/01/2015,72
14/01/2015,60
15/01/2015,71
16/01/2015,66
17/01/2015,51
18/01/2015,50
19/01/2015,67
20/01/2015,70
21/01/2015,61
22/01/2015,71
23/01/2015,100
24/01/2015,63
25/01/2015,41
26/01/2015,48
27/01/2015,52
28/01/2015,75
29/01/2015,77
30/01/2015,76
31/01/2015,60
01/02/2015,46
02/02/2015,57
03/02/2015,63
04/02/2015,68
05/02/2015,57
06/02/2015,50
07/02/2015,66
08/02/2015,45
09/02/2015,62
10/02/2015,80
11/02/2015,50
12/02/2015,61
13/02/2015,67
14/02/2015,49
15/02/2015,34
16/02/2015,68
17/02/2015,70
18/02/2015,48
19/02/2015,73
20/02/2015,51
21/02/2015,52
22/02/2015,40
23/02/2015,56
24/02/2015,61
25/02/2015,56
26/02/2015,55
27/02/2015,67
28/02/2015,58
01/03/2015,55
02/03/2015,55
03/03/2015,69
04/03/2015,79
05/03/2015,53
06/03/2015,71
07/03/2015,48
08/03/2015,45
09/03/2015,47
10/03/2015,73
11/03/2015,54
12/03/2015,57
13/03/2015,67
14/03/2015,46
15/03/2015,50
16/03/2015,46
17/03/2015,47
18/03/2015,70
19/03/2015,46
20/03/2015,58
21/03/2015,57
22/03/2015,31
23/03/2015,66
24/03/2015,74
25/03/2015,77
26/03/2015,60
27/03/2015,87
28/03/2015,60
29/03/2015,34
30/03/2015,52
31/03/2015,68
01/04/2015,44
02/04/2015,55
03/04/2015,48
04/04/2015,38
05/04/2015,30
06/04/2015,40
07/04/2015,58
08/04/2015,44
09/04/2015,55
10/04/2015,64
11/04/2015,62
12/04/2015,54
13/04/2015,51
14/04/2015,82
15/04/2015,83
16/04/2015,75
17/04/2015,80
18/04/2015,65
19/04/2015,44
20/04/2015,72
21/04/2015,58
22/04/2015,68
23/04/2015,78
24/04/2015,68
25/04/2015,46
26/04/2015,41
27/04/2015,72
28/04/2015,77
29/04/2015,68
30/04/2015,84
01/05/2015,63
02/05/2015,71
03/05/2015,37
04/05/2015,47
05/05/2015,66
06/05/2015,76
07/05/2015,77
08/05/2015,64
09/05/2015,58
10/05/2015,44
11/05/2015,70
12/05/2015,73
13/05/2015,76
14/05/2015,76
15/05/2015,83
16/05/2015,58
17/05/2015,48
18/05/2015,72
19/05/2015,66
20/05/2015,77
21/05/2015,72
22/05/2015,63
23/05/2015,50
24/05/2015,60
25/05/2015,40
26/05/2015,58
27/05/2015,65
28/05/2015,55
29/05/2015,57
30/05/2015,55
31/05/2015,48
01/06/2015,81
02/06/2015,64
03/06/2015,84
04/06/2015,81
05/06/2015,71
06/06/2015,55
07/06/2015,60
08/06/2015,78
09/06/2015,70
10/06/2015,70
11/06/2015,82
12/06/2015,69
13/06/2015,54
14/06/2015,43
15/06/2015,66
16/06/2015,74
17/06/2015,60
