"id","order","score","weight","color","label"
"1",1,405,1,"#0b151d","12 - 1"
"2",2,262,1,"#172b3b","1 - 2"
"3",3,195,1,"#89b1d1","2 - 3"
"4",4,154,1,"#4f8aba","3 - 4"
"5",5,150,1,"#336084","4 - 5"
"6",6,156,1,"#11202c","5 - 6"
"7",7,459,1,"#d3e2ee","6 - 7"
"8",8,1129,1,"#c4d8e8","7 - 8"
"9",9,1613,1,"#224058","8 - 9"
"10",10,1163,1,"#3f75a2","9 - 10"
"11",11,914,1,"#b6cee2","10 - 11"
"12",12,970,1,"#d3e2ee","11 - 12"
"13",13,1118,1,"#11202c","12 - 13"
"14",14,1228,1,"#284b67","13 - 14"
"15",15,1281,1,"#6c9dc6","14 - 15"
"16",16,1594,1,"#98bbd7","15 - 16"
"17",17,1629,1,"#2e5576","16 - 17"
"18",18,1907,1,"#224058","17 - 18"
"19",19,1756,1,"#336084","18 - 19"
"20",20,1445,1,"#6c9dc6","19 - 20"
"21",21,994,1,"#b6cee2","20 - 21"
"22",22,779,1,"#f0f5f9","21 - 22"
"23",23,711,1,"#1d3549","22 - 23"
"24",24,582,1,"#284b67","23 - 24"
